Year,Value,Units
2006,40632000,"Gross Disbursements, USD Current"
2007,84607780,"Gross Disbursements, USD Current"
2008,125229261,"Gross Disbursements, USD Current"
2009,209836229,"Gross Disbursements, USD Current"
2010,765271090,"Gross Disbursements, USD Current"
2011,776344320,"Gross Disbursements, USD Current"
2012,905759950,"Gross Disbursements, USD Current"
2013,937600090,"Gross Disbursements, USD Current"
2014,1359653660,"Gross Disbursements, USD Current"
2015,1136468064,"Gross Disbursements, USD Current"
2016,1566679706,"Gross Disbursements, USD Current"
2017,1079542140,"Gross Disbursements, USD Current"
2018,620207410,"Gross Disbursements, USD Current"
2019,943595266,"Gross Disbursements, USD Current"
2020,560447361,"Gross Disbursements, USD Current"
2021,851106660,"Gross Disbursements, USD Current"
2022,500118799,"Gross Disbursements, USD Current"
