Year,Value,Units,Series
2007,2.78,Share,
2008,2.66,Share,
2009,2.54,Share,
2010,2.52,Share,
2011,2.6,Share,
2012,2.69,Share,
2013,2.78,Share,
2014,2.79,Share,
2015,2.88,Share,
2016,2.88,Share,
2017,2.88,Share,
2018,2.96,Share,
2019,3.02,Share,
2020,2.15,Share,
2021,2.76,Share,
2022,2.97,Share,
2008,-4.3,Percent,pct_change
2009,-4.5,Percent,pct_change
2010,-0.8,Percent,pct_change
2011,3.2,Percent,pct_change
2012,3.5,Percent,pct_change
2013,3.3,Percent,pct_change
2014,0.4,Percent,pct_change
2015,3.2,Percent,pct_change
2016,0.0,Percent,pct_change
2017,0.0,Percent,pct_change
2018,2.8,Percent,pct_change
2019,2.0,Percent,pct_change
2020,-28.8,Percent,pct_change
2021,28.4,Percent,pct_change
2022,7.6,Percent,pct_change
