Year,Value,Units,Series
2000,15.1,Share,pct_GDP
2001,13.9,Share,pct_GDP
2002,13.4,Share,pct_GDP
2003,13.3,Share,pct_GDP
2004,13.2,Share,pct_GDP
2005,13.0,Share,pct_GDP
2006,13.0,Share,pct_GDP
2007,12.8,Share,pct_GDP
2008,12.2,Share,pct_GDP
2009,11.7,Share,pct_GDP
2010,11.9,Share,pct_GDP
2011,11.9,Share,pct_GDP
2012,11.8,Share,pct_GDP
2013,11.7,Share,pct_GDP
2014,11.4,Share,pct_GDP
2015,11.3,Share,pct_GDP
2016,10.8,Share,pct_GDP
2017,10.8,Share,pct_GDP
2018,10.9,Share,pct_GDP
2019,10.5,Share,pct_GDP
2020,10.1,Share,pct_GDP
2021,10.0,Share,pct_GDP
2022,10.3,Share,pct_GDP
2023,10.3,Share,pct_GDP
2000,5811.3,Chained 2017 dollars,per_capita
2001,5560.9,Chained 2017 dollars,per_capita
2002,5565.5,Chained 2017 dollars,per_capita
2003,5859.1,Chained 2017 dollars,per_capita
2004,6220.7,Chained 2017 dollars,per_capita
2005,6343.7,Chained 2017 dollars,per_capita
2006,6635.8,Chained 2017 dollars,per_capita
2007,6846.3,Chained 2017 dollars,per_capita
2008,6636.8,Chained 2017 dollars,per_capita
2009,5995.0,Chained 2017 dollars,per_capita
2010,6296.2,Chained 2017 dollars,per_capita
2011,6290.2,Chained 2017 dollars,per_capita
2012,6242.3,Chained 2017 dollars,per_capita
2013,6402.4,Chained 2017 dollars,per_capita
2014,6411.7,Chained 2017 dollars,per_capita
2015,6410.2,Chained 2017 dollars,per_capita
2016,6313.1,Chained 2017 dollars,per_capita
2017,6454.4,Chained 2017 dollars,per_capita
2018,6730.7,Chained 2017 dollars,per_capita
2019,6726.82,Chained 2017 dollars,per_capita
2020,6410.79,Chained 2017 dollars,per_capita
2021,6763.91,Chained 2017 dollars,per_capita
2022,6828.59,Chained 2017 dollars,per_capita
2023,6833.37,Chained 2017 dollars,per_capita
