Year,Units,Value
1994,Percent,17.2
1995,Percent,16.9
1996,Percent,16.2
1997,Percent,15.3
1998,Percent,14.6
1999,Percent,14.3
2000,Percent,14.3
2001,Percent,14.9
2002,Percent,15.4
2003,Percent,15.8
2004,Percent,15.2
2005,Percent,15.5
2006,Percent,14.8
2007,Percent,14.5
2008,Percent,15.4
2009,Percent,17.5
2010,Percent,17.6
2011,Percent,17.1
2012,Percent,16.5
2013,Percent,17.6
2014,Percent,16.6
2015,Percent,15.7
2016,Percent,15.3
2017,Percent,14.0
2018,Percent,13.9
2019,Percent,13.3
2020,Percent,17.2
2021,Percent,14.9
2022,Percent,14.4
2023,Percent,14.1
