Year,Sex,Value
2000,,66.0
2001,,69.0
2002,,64.0
2003,,64.0
2004,,67.0
2005,,62.0
2006,,63.0
2007,,62.0
2008,,63.0
2009,,66.0
2010,,63.0
2011,,61.0
2013,,65.0
2014,,63.0
2015,,64.0
2016,,64.0
2017,,69.0
2018,,66.0
2019,,63.0
2020,,70.0
2021,,63.0
2022,,
2023,,60.0
2004,Male,79.0
2005,Male,76.0
2006,Male,75.0
2007,Male,74.0
2008,Male,72.0
2009,Male,78.0
2010,Male,78.0
2011,Male,70.0
2013,Male,76.0
2014,Male,73.0
2015,Male,74.0
2016,Male,
2017,Male,
2018,Male,
2019,Male,
2020,Male,
2021,Male,73.0
2022,Male,
2023,Male,73.0
2004,Female,57.0
2005,Female,50.0
2006,Female,52.0
2007,Female,53.0
2008,Female,55.0
2009,Female,55.0
2010,Female,50.0
2011,Female,54.0
2013,Female,56.0
2014,Female,55.0
2015,Female,54.0
2016,Female,
2017,Female,
2018,Female,
2019,Female,
2020,Female,
2021,Female,53.0
2022,Female,
2023,Female,47.0
