Year,Units,Series,Treatment Method,Value
2021,Tons,Hazardous waste generated per capita,,35864675.52
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",DEEPWELL / UNDERGROUND INJECTION,59.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",ENERGY RECOVERY,4.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",FUEL BLENDING,1.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",INCINERATION,2.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",LAND TREATMENT / APPLICATION,0.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",LANDFILL,3.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",METALS RECOVERY,3.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",OTHER RECOVERY,1.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",OTHER TREATMENT,10.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SLUDGE TRTMNT / STAB / ENCAP,1.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SOLVENTS RECOVERY,1.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SURF. IMP. CLOSED AS LANDFILL,0.0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",WASTEWATER TREATMENT,15.0
