Year,Series,Units,Value
2000,Manufacturing value added as a percentage of GDP,Share,15.1
2001,Manufacturing value added as a percentage of GDP,Share,13.9
2002,Manufacturing value added as a percentage of GDP,Share,13.4
2003,Manufacturing value added as a percentage of GDP,Share,13.3
2004,Manufacturing value added as a percentage of GDP,Share,13.2
2005,Manufacturing value added as a percentage of GDP,Share,13.0
2006,Manufacturing value added as a percentage of GDP,Share,13.0
2007,Manufacturing value added as a percentage of GDP,Share,12.8
2008,Manufacturing value added as a percentage of GDP,Share,12.2
2009,Manufacturing value added as a percentage of GDP,Share,11.7
2010,Manufacturing value added as a percentage of GDP,Share,11.9
2011,Manufacturing value added as a percentage of GDP,Share,11.9
2012,Manufacturing value added as a percentage of GDP,Share,11.8
2013,Manufacturing value added as a percentage of GDP,Share,11.7
2014,Manufacturing value added as a percentage of GDP,Share,11.4
2015,Manufacturing value added as a percentage of GDP,Share,11.3
2016,Manufacturing value added as a percentage of GDP,Share,10.8
2017,Manufacturing value added as a percentage of GDP,Share,10.8
2018,Manufacturing value added as a percentage of GDP,Share,10.9
2019,Manufacturing value added as a percentage of GDP,Share,10.5
2020,Manufacturing value added as a percentage of GDP,Share,10.1
2021,Manufacturing value added as a percentage of GDP,Share,10.0
2022,Manufacturing value added as a percentage of GDP,Share,10.3
2023,Manufacturing value added as a percentage of GDP,Share,10.3
2000,Manufacturing value added per capita,Chained 2017 dollars,5811.3
2001,Manufacturing value added per capita,Chained 2017 dollars,5560.9
2002,Manufacturing value added per capita,Chained 2017 dollars,5565.5
2003,Manufacturing value added per capita,Chained 2017 dollars,5859.1
2004,Manufacturing value added per capita,Chained 2017 dollars,6220.7
2005,Manufacturing value added per capita,Chained 2017 dollars,6343.7
2006,Manufacturing value added per capita,Chained 2017 dollars,6635.8
2007,Manufacturing value added per capita,Chained 2017 dollars,6846.3
2008,Manufacturing value added per capita,Chained 2017 dollars,6636.8
2009,Manufacturing value added per capita,Chained 2017 dollars,5995.0
2010,Manufacturing value added per capita,Chained 2017 dollars,6296.2
2011,Manufacturing value added per capita,Chained 2017 dollars,6290.2
2012,Manufacturing value added per capita,Chained 2017 dollars,6242.3
2013,Manufacturing value added per capita,Chained 2017 dollars,6402.4
2014,Manufacturing value added per capita,Chained 2017 dollars,6411.7
2015,Manufacturing value added per capita,Chained 2017 dollars,6410.2
2016,Manufacturing value added per capita,Chained 2017 dollars,6313.1
2017,Manufacturing value added per capita,Chained 2017 dollars,6454.4
2018,Manufacturing value added per capita,Chained 2017 dollars,6730.7
2019,Manufacturing value added per capita,Chained 2017 dollars,6726.82
2020,Manufacturing value added per capita,Chained 2017 dollars,6410.79
2021,Manufacturing value added per capita,Chained 2017 dollars,6763.91
2022,Manufacturing value added per capita,Chained 2017 dollars,6828.59
2023,Manufacturing value added per capita,Chained 2017 dollars,6833.37
