Year,Sex,Age,Disability status,Units,Value
2009,Male,16 and over,Disabled,Percent,15.1
2010,Male,16 and over,Disabled,Percent,15.2
2011,Male,16 and over,Disabled,Percent,15.3
2012,Male,16 and over,Disabled,Percent,13.2
2013,Male,16 and over,Disabled,Percent,13.0
2014,Male,16 and over,Disabled,Percent,12.5
2015,Male,16 and over,Disabled,Percent,10.6
2016,Male,16 and over,Disabled,Percent,10.1
2017,Male,16 and over,Disabled,Percent,9.0
2018,Male,16 and over,Disabled,Percent,7.9
2019,Male,16 and over,Disabled,Percent,7.4
2020,Male,16 and over,Disabled,Percent,12.0
2021,Male,16 and over,Disabled,Percent,10.1
2022,Male,16 and over,Disabled,Percent,7.8
2023,Male,16 and over,Disabled,Percent,7.2
2009,Male,16 and over,Not disabled,Percent,10.1
2010,Male,16 and over,Not disabled,Percent,10.3
2011,Male,16 and over,Not disabled,Percent,9.1
2012,Male,16 and over,Not disabled,Percent,8.0
2013,Male,16 and over,Not disabled,Percent,7.4
2014,Male,16 and over,Not disabled,Percent,6.0
2015,Male,16 and over,Not disabled,Percent,5.2
2016,Male,16 and over,Not disabled,Percent,4.7
2017,Male,16 and over,Not disabled,Percent,4.2
2018,Male,16 and over,Not disabled,Percent,3.8
2019,Male,16 and over,Not disabled,Percent,3.6
2020,Male,16 and over,Not disabled,Percent,7.6
2021,Male,16 and over,Not disabled,Percent,5.3
2022,Male,16 and over,Not disabled,Percent,3.5
2023,Male,16 and over,Not disabled,Percent,3.6
2009,Male,16 to 64,Disabled,Percent,16.4
2010,Male,16 to 64,Disabled,Percent,16.4
2011,Male,16 to 64,Disabled,Percent,16.6
2012,Male,16 to 64,Disabled,Percent,14.5
2013,Male,16 to 64,Disabled,Percent,14.6
2014,Male,16 to 64,Disabled,Percent,14.1
2015,Male,16 to 64,Disabled,Percent,11.6
2016,Male,16 to 64,Disabled,Percent,11.2
2017,Male,16 to 64,Disabled,Percent,10.0
2018,Male,16 to 64,Disabled,Percent,8.7
2019,Male,16 to 64,Disabled,Percent,8.3
2020,Male,16 to 64,Disabled,Percent,13.0
2021,Male,16 to 64,Disabled,Percent,11.1
2022,Male,16 to 64,Disabled,Percent,8.5
2023,Male,16 to 64,Disabled,Percent,7.8
2009,Male,16 to 64,Not disabled,Percent,10.2
2010,Male,16 to 64,Not disabled,Percent,10.5
2011,Male,16 to 64,Not disabled,Percent,9.3
2012,Male,16 to 64,Not disabled,Percent,8.1
2013,Male,16 to 64,Not disabled,Percent,7.5
2014,Male,16 to 64,Not disabled,Percent,6.1
2015,Male,16 to 64,Not disabled,Percent,5.3
2016,Male,16 to 64,Not disabled,Percent,4.8
2017,Male,16 to 64,Not disabled,Percent,4.3
2018,Male,16 to 64,Not disabled,Percent,3.8
2019,Male,16 to 64,Not disabled,Percent,3.6
2020,Male,16 to 64,Not disabled,Percent,7.7
2021,Male,16 to 64,Not disabled,Percent,5.3
2022,Male,16 to 64,Not disabled,Percent,3.5
2023,Male,16 to 64,Not disabled,Percent,3.7
2009,Male,16 to 19,Disabled,Percent,42.3
2010,Male,16 to 19,Disabled,Percent,38.5
2011,Male,16 to 19,Disabled,Percent,48.8
2012,Male,16 to 19,Disabled,Percent,40.7
2013,Male,16 to 19,Disabled,Percent,43.4
2014,Male,16 to 19,Disabled,Percent,44.9
2015,Male,16 to 19,Disabled,Percent,34.2
2016,Male,16 to 19,Disabled,Percent,36.6
2017,Male,16 to 19,Disabled,Percent,25.1
2018,Male,16 to 19,Disabled,Percent,27.7
2019,Male,16 to 19,Disabled,Percent,27.9
2020,Male,16 to 19,Disabled,Percent,26.3
2021,Male,16 to 19,Disabled,Percent,20.6
2022,Male,16 to 19,Disabled,Percent,21.5
2023,Male,16 to 19,Disabled,Percent,17.6
2009,Male,16 to 19,Not disabled,Percent,27.4
2010,Male,16 to 19,Not disabled,Percent,28.5
2011,Male,16 to 19,Not disabled,Percent,26.6
2012,Male,16 to 19,Not disabled,Percent,26.4
2013,Male,16 to 19,Not disabled,Percent,25.1
2014,Male,16 to 19,Not disabled,Percent,20.8
