Year,Value,Units
1994,17.2,Percent
1995,16.9,Percent
1996,16.2,Percent
1997,15.3,Percent
1998,14.6,Percent
1999,14.3,Percent
2000,14.3,Percent
2001,14.9,Percent
2002,15.4,Percent
2003,15.8,Percent
2004,15.2,Percent
2005,15.5,Percent
2006,14.8,Percent
2007,14.5,Percent
2008,15.4,Percent
2009,17.5,Percent
2010,17.6,Percent
2011,17.1,Percent
2012,16.5,Percent
2013,17.6,Percent
2014,16.6,Percent
2015,15.7,Percent
2016,15.3,Percent
2017,14.0,Percent
2018,13.9,Percent
2019,13.3,Percent
2020,17.2,Percent
2021,14.9,Percent
2022,14.4,Percent
2023,14.1,Percent
