Year,sex,Value
2000,,66.0
2001,,69.0
2002,,64.0
2003,,64.0
2004,,67.0
2005,,62.0
2006,,63.0
2007,,62.0
2008,,63.0
2009,,66.0
2010,,63.0
2011,,61.0
2013,,65.0
2014,,63.0
2015,,64.0
2016,,64.0
2017,,69.0
2018,,66.0
2019,,63.0
2020,,70.0
2021,,63.0
2022,,
2023,,60.0
2004,male,79.0
2005,male,76.0
2006,male,75.0
2007,male,74.0
2008,male,72.0
2009,male,78.0
2010,male,78.0
2011,male,70.0
2013,male,76.0
2014,male,73.0
2015,male,74.0
2016,male,
2017,male,
2018,male,
2019,male,
2020,male,
2021,male,73.0
2022,male,
2023,male,73.0
2004,female,57.0
2005,female,50.0
2006,female,52.0
2007,female,53.0
2008,female,55.0
2009,female,55.0
2010,female,50.0
2011,female,54.0
2013,female,56.0
2014,female,55.0
2015,female,54.0
2016,female,
2017,female,
2018,female,
2019,female,
2020,female,
2021,female,53.0
2022,female,
2023,female,47.0
