Year,severity,Value
2001,md_inadqt_hs,3.99742
2003,md_inadqt_hs,3.81708
2005,md_inadqt_hs,3.57281
2007,md_inadqt_hs,3.78186
2009,md_inadqt_hs,3.71077
2011,md_inadqt_hs,3.83114
2013,md_inadqt_hs,3.69158
2015,md_inadqt_hs,4.22536
2017,md_inadqt_hs,3.608691196
2019,md_inadqt_hs,3.454566
2021,md_inadqt_hs,3.68612
2001,sv_inadqt_hs,2.05732
2003,sv_inadqt_hs,1.94087
2005,sv_inadqt_hs,1.88559
2007,sv_inadqt_hs,1.75856
2009,sv_inadqt_hs,1.82668
2011,sv_inadqt_hs,2.00207
2013,sv_inadqt_hs,1.85935
2015,sv_inadqt_hs,1.25475
2017,sv_inadqt_hs,1.081274982
2019,sv_inadqt_hs,1.18209
2021,sv_inadqt_hs,1.425222
2001,all_inadqt_hs,6.05474
2003,all_inadqt_hs,5.75795
2005,all_inadqt_hs,5.4584
2007,all_inadqt_hs,5.54042
2009,all_inadqt_hs,5.53745
2011,all_inadqt_hs,5.8332
2013,all_inadqt_hs,5.55093
2015,all_inadqt_hs,5.48011
2017,all_inadqt_hs,4.689966178
2019,all_inadqt_hs,4.636656
2021,all_inadqt_hs,5.111342
