Year,source,Value
2000,,30.62
2001,,29.53
2002,,27.14
2003,,26.58
2004,,26.82
2005,,28.22
2006,,29.05
2007,,29.14
2008,,28.04
2009,,25.58
2010,,26.24
2011,,26.58
2012,,26.62
2013,,28.8
2014,,28.86
2015,,28.99
2016,,28.55
2017,,28.14
2018,,26.89
2000,crnt_tx_rcpts,21.28
2001,crnt_tx_rcpts,20.23
2002,crnt_tx_rcpts,18.08
2003,crnt_tx_rcpts,17.7
2004,crnt_tx_rcpts,18.02
2005,crnt_tx_rcpts,19.49
2006,crnt_tx_rcpts,20.22
2007,crnt_tx_rcpts,20.27
2008,crnt_tx_rcpts,19.19
2009,crnt_tx_rcpts,16.54
2010,crnt_tx_rcpts,17.21
2011,crnt_tx_rcpts,18.3
2012,crnt_tx_rcpts,18.45
2013,crnt_tx_rcpts,19.28
2014,crnt_tx_rcpts,19.65
2015,crnt_tx_rcpts,19.84
2016,crnt_tx_rcpts,19.58
2017,crnt_tx_rcpts,19.22
2018,crnt_tx_rcpts,18.17
2000,ctrbtns_govt_soc_ins,6.92
2001,ctrbtns_govt_soc_ins,6.96
2002,ctrbtns_govt_soc_ins,6.91
2003,ctrbtns_govt_soc_ins,6.84
2004,ctrbtns_govt_soc_ins,6.83
2005,ctrbtns_govt_soc_ins,6.73
2006,ctrbtns_govt_soc_ins,6.71
2007,ctrbtns_govt_soc_ins,6.68
2008,ctrbtns_govt_soc_ins,6.75
2009,ctrbtns_govt_soc_ins,6.71
2010,ctrbtns_govt_soc_ins,6.59
2011,ctrbtns_govt_soc_ins,5.93
2012,ctrbtns_govt_soc_ins,5.9
2013,ctrbtns_govt_soc_ins,6.61
2014,ctrbtns_govt_soc_ins,6.61
2015,ctrbtns_govt_soc_ins,6.64
2016,ctrbtns_govt_soc_ins,6.66
2017,ctrbtns_govt_soc_ins,6.69
2018,ctrbtns_govt_soc_ins,6.67
2000,inc_rcpts_asts,1.42
2001,inc_rcpts_asts,1.35
2002,inc_rcpts_asts,1.14
2003,inc_rcpts_asts,1.05
2004,inc_rcpts_asts,0.99
2005,inc_rcpts_asts,1.06
2006,inc_rcpts_asts,1.2
2007,inc_rcpts_asts,1.3
2008,inc_rcpts_asts,1.17
2009,inc_rcpts_asts,1.28
2010,inc_rcpts_asts,1.45
2011,inc_rcpts_asts,1.37
2012,inc_rcpts_asts,1.38
2013,inc_rcpts_asts,1.94
2014,inc_rcpts_asts,1.46
2015,inc_rcpts_asts,1.34
2016,inc_rcpts_asts,1.19
2017,inc_rcpts_asts,1.14
2018,inc_rcpts_asts,1.02
2000,crnt_trnsfr_rcpts,0.89
2001,crnt_trnsfr_rcpts,0.92
2002,crnt_trnsfr_rcpts,0.94
2003,crnt_trnsfr_rcpts,0.96
2004,crnt_trnsfr_rcpts,0.98
2005,crnt_trnsfr_rcpts,0.97
2006,crnt_trnsfr_rcpts,0.97
2007,crnt_trnsfr_rcpts,0.98
2008,crnt_trnsfr_rcpts,1.04
2009,crnt_trnsfr_rcpts,1.17
2010,crnt_trnsfr_rcpts,1.12
2011,crnt_trnsfr_rcpts,1.1
2012,crnt_trnsfr_rcpts,1.0
2013,crnt_trnsfr_rcpts,1.07
2014,crnt_trnsfr_rcpts,1.19
2015,crnt_trnsfr_rcpts,1.2
2016,crnt_trnsfr_rcpts,1.13
2017,crnt_trnsfr_rcpts,1.12
2018,crnt_trnsfr_rcpts,1.09
2000,crnt_srpls_govt_entrprs,0.11
2001,crnt_srpls_govt_entrprs,0.05
2002,crnt_srpls_govt_entrprs,0.07
2003,crnt_srpls_govt_entrprs,0.04
2004,crnt_srpls_govt_entrprs,0.0
2005,crnt_srpls_govt_entrprs,-0.03
2006,crnt_srpls_govt_entrprs,-0.05
2007,crnt_srpls_govt_entrprs,-0.1
2008,crnt_srpls_govt_entrprs,-0.12
2009,crnt_srpls_govt_entrprs,-0.11
2010,crnt_srpls_govt_entrprs,-0.13
2011,crnt_srpls_govt_entrprs,-0.12
2012,crnt_srpls_govt_entrprs,-0.1
2013,crnt_srpls_govt_entrprs,-0.09
2014,crnt_srpls_govt_entrprs,-0.06
2015,crnt_srpls_govt_entrprs,-0.03
2016,crnt_srpls_govt_entrprs,-0.01
2017,crnt_srpls_govt_entrprs,-0.03
2018,crnt_srpls_govt_entrprs,-0.06
