Year,sex,age,race_ethnicity,Value
2007,,,,1.5
2008,,,,1.3
2009,,,,1.1
2010,,,,1.1
2011,,,,0.9
2012,,,,0.9
2013,,,,1.0
2014,,,,0.9
2015,,,,1.1
2016,,,,1.0
2017,,,,1.1
2018,,,,1.0
2019,,,,1.0
2020,,,,0.7
2021,,,,0.6
2022,,,,0.6
2007,female,,,1.1
2008,female,,,1.0
2009,female,,,0.8
2010,female,,,0.8
2011,female,,,0.7
2012,female,,,0.7
2013,female,,,0.7
2014,female,,,0.6
2015,female,,,0.8
2016,female,,,0.8
2017,female,,,0.8
2018,female,,,0.8
2019,female,,,0.7
2020,female,,,0.5
2021,female,,,0.5
2022,female,,,0.5
2007,male,,,1.9
2008,male,,,1.7
2009,male,,,1.4
2010,male,,,1.4
2011,male,,,1.2
2012,male,,,1.2
2013,male,,,1.2
2014,male,,,1.1
2015,male,,,1.3
2016,male,,,1.2
2017,male,,,1.3
2018,male,,,1.3
2019,male,,,1.3
2020,male,,,0.8
2021,male,,,0.7
2022,male,,,0.8
2007,,lt_20_yrs,,0.1
2008,,lt_20_yrs,,0.1
2009,,lt_20_yrs,,0.1
2010,,lt_20_yrs,,0.1
2011,,lt_20_yrs,,0.0
2012,,lt_20_yrs,,0.0
2013,,lt_20_yrs,,0.0
2014,,lt_20_yrs,,0.0
2015,,lt_20_yrs,,0.0
2016,,lt_20_yrs,,0.0
2017,,lt_20_yrs,,0.0
2018,,lt_20_yrs,,0.0
2019,,lt_20_yrs,,0.0
2020,,lt_20_yrs,,0.0
2021,,lt_20_yrs,,0.0
2022,,lt_20_yrs,,0.0
2007,,20_29_yrs,,2.0
2008,,20_29_yrs,,1.8
2009,,20_29_yrs,,1.2
2010,,20_29_yrs,,1.1
2011,,20_29_yrs,,1.0
2012,,20_29_yrs,,0.9
2013,,20_29_yrs,,0.8
2014,,20_29_yrs,,0.6
2015,,20_29_yrs,,0.8
2016,,20_29_yrs,,0.6
2017,,20_29_yrs,,0.6
