Year,Series,Units,Value
2000,pct_GDP,Share,15.1
2001,pct_GDP,Share,13.9
2002,pct_GDP,Share,13.4
2003,pct_GDP,Share,13.3
2004,pct_GDP,Share,13.2
2005,pct_GDP,Share,13.0
2006,pct_GDP,Share,13.0
2007,pct_GDP,Share,12.8
2008,pct_GDP,Share,12.2
2009,pct_GDP,Share,11.7
2010,pct_GDP,Share,11.9
2011,pct_GDP,Share,11.9
2012,pct_GDP,Share,11.8
2013,pct_GDP,Share,11.7
2014,pct_GDP,Share,11.4
2015,pct_GDP,Share,11.3
2016,pct_GDP,Share,10.8
2017,pct_GDP,Share,10.8
2018,pct_GDP,Share,10.9
2019,pct_GDP,Share,10.5
2020,pct_GDP,Share,10.1
2021,pct_GDP,Share,10.0
2022,pct_GDP,Share,10.3
2023,pct_GDP,Share,10.3
2000,per_capita,Chained 2017 dollars,5811.3
2001,per_capita,Chained 2017 dollars,5560.9
2002,per_capita,Chained 2017 dollars,5565.5
2003,per_capita,Chained 2017 dollars,5859.1
2004,per_capita,Chained 2017 dollars,6220.7
2005,per_capita,Chained 2017 dollars,6343.7
2006,per_capita,Chained 2017 dollars,6635.8
2007,per_capita,Chained 2017 dollars,6846.3
2008,per_capita,Chained 2017 dollars,6636.8
2009,per_capita,Chained 2017 dollars,5995.0
2010,per_capita,Chained 2017 dollars,6296.2
2011,per_capita,Chained 2017 dollars,6290.2
2012,per_capita,Chained 2017 dollars,6242.3
2013,per_capita,Chained 2017 dollars,6402.4
2014,per_capita,Chained 2017 dollars,6411.7
2015,per_capita,Chained 2017 dollars,6410.2
2016,per_capita,Chained 2017 dollars,6313.1
2017,per_capita,Chained 2017 dollars,6454.4
2018,per_capita,Chained 2017 dollars,6730.7
2019,per_capita,Chained 2017 dollars,6726.82
2020,per_capita,Chained 2017 dollars,6410.79
2021,per_capita,Chained 2017 dollars,6763.91
2022,per_capita,Chained 2017 dollars,6828.59
2023,per_capita,Chained 2017 dollars,6833.37
