Year,Series,Units,Value
2007,,Share,2.78
2008,,Share,2.66
2009,,Share,2.54
2010,,Share,2.52
2011,,Share,2.6
2012,,Share,2.69
2013,,Share,2.78
2014,,Share,2.79
2015,,Share,2.88
2016,,Share,2.88
2017,,Share,2.88
2018,,Share,2.96
2019,,Share,3.02
2020,,Share,2.15
2021,,Share,2.76
2022,,Share,2.97
2008,pct_change,Percent,-4.3
2009,pct_change,Percent,-4.5
2010,pct_change,Percent,-0.8
2011,pct_change,Percent,3.2
2012,pct_change,Percent,3.5
2013,pct_change,Percent,3.3
2014,pct_change,Percent,0.4
2015,pct_change,Percent,3.2
2016,pct_change,Percent,0.0
2017,pct_change,Percent,0.0
2018,pct_change,Percent,2.8
2019,pct_change,Percent,2.0
2020,pct_change,Percent,-28.8
2021,pct_change,Percent,28.4
2022,pct_change,Percent,7.6
