Year,Measure,Value
2000,"Commitments, USD Current",347282000
2001,"Commitments, USD Current",419974000
2002,"Gross Disbursements, USD Current",543376000
2003,"Gross Disbursements, USD Current",611340000
2004,"Gross Disbursements, USD Current",601624000
2005,"Gross Disbursements, USD Current",1078633000
2006,"Gross Disbursements, USD Current",1015881000
2007,"Gross Disbursements, USD Current",1057754886
2008,"Gross Disbursements, USD Current",987475255
2009,"Gross Disbursements, USD Current",941920902
2010,"Net Disbursements, USD Current",1111458980
2011,"Net Disbursements, USD Current",1173221780
2012,"Net Disbursements, USD Current",1263897940
2013,"Net Disbursements, USD Current",1379768290
2014,"Net Disbursements, USD Current",1519975180
2015,"Net Disbursements, USD Current",1856922499
2016,"Net Disbursements, USD Current",1841569199
2017,"Net Disbursements, USD Current",1987188660
2018,"Net Disbursements, USD Current",1492208980
2019,"Net Disbursements, USD Current",1733609783
2020,"Net Disbursements, USD Current",1824913155
2021,"Net Disbursements, USD Current",2183317800
2022,"Net Disbursements, USD Current",4406580303
