Year,Units,Treatment Method,Unnamed: 4,Unnamed: 5,Value
2021,Total,,,,11
2021,Percent,DEEPWELL / UNDERGROUND INJECTION,,,59
2021,Percent,ENERGY RECOVERY,,,4
2021,Percent,FUEL BLENDING,,,1
2021,Percent,INCINERATION,,,2
2021,Percent,LAND TREATMENT / APPLICATION,,,0
2021,Percent,LANDFILL,,,3
2021,Percent,METALS RECOVERY,,,3
2021,Percent,OTHER RECOVERY,,,1
2021,Percent,OTHER TREATMENT,,,10
2021,Percent,SLUDGE TRTMNT / STAB / ENCAP,,,1
2021,Percent,SOLVENTS RECOVERY,,,1
2021,Percent,SURF. IMP. CLOSED AS LANDFILL,,,0
2021,Percent,WASTEWATER TREATMENT,,,15
