Year,Units,Sex,Age,Value
2023,Percent,,,89
2022,Percent,,,89
2021,Percent,,,89
2020,Percent,,,89
2019,Percent,,,89
2018,Percent,,,88
2017,Percent,,,88
2016,Percent,,,88
2015,Percent,,,88
2014,Percent,,,88
2013,Percent,,,87
2012,Percent,,,87
2011,Percent,,,87
2010,Percent,,,87
2009,Percent,,,87
2008,Percent,,,88
2007,Percent,,,88
2006,Percent,,,88
2005,Percent,,,88
2004,Percent,,,88
2003,Percent,,,88
2002,Percent,,,87
2001,Percent,,,87
2000,Percent,,,87
2023,Percent,Male,,90
2022,Percent,Male,,91
2021,Percent,Male,,91
2020,Percent,Male,,91
2019,Percent,Male,,90
2018,Percent,Male,,90
2017,Percent,Male,,90
2016,Percent,Male,,90
2015,Percent,Male,,90
2014,Percent,Male,,90
2013,Percent,Male,,90
2012,Percent,Male,,90
2011,Percent,Male,,90
2010,Percent,Male,,90
2009,Percent,Male,,91
2008,Percent,Male,,91
2007,Percent,Male,,92
2006,Percent,Male,,92
2005,Percent,Male,,92
2004,Percent,Male,,92
2003,Percent,Male,,92
2002,Percent,Male,,92
2001,Percent,Male,,92
2000,Percent,Male,,92
2023,Percent,Female,,88
2022,Percent,Female,,88
2021,Percent,Female,,87
2020,Percent,Female,,87
2019,Percent,Female,,87
2018,Percent,Female,,87
2017,Percent,Female,,86
2016,Percent,Female,,85
2015,Percent,Female,,85
2014,Percent,Female,,85
2013,Percent,Female,,85
2012,Percent,Female,,85
2011,Percent,Female,,85
2010,Percent,Female,,84
2009,Percent,Female,,84
2008,Percent,Female,,84
2007,Percent,Female,,84
2006,Percent,Female,,84
2005,Percent,Female,,84
2004,Percent,Female,,84
2003,Percent,Female,,83
2002,Percent,Female,,83
2001,Percent,Female,,83
2000,Percent,Female,,82
2023,Percent,,15 to 19,13
2023,Percent,,20 to 24,74
2023,Percent,,25 to 29,89
2023,Percent,,30 to 34,92
2023,Percent,,35 to 39,91
2023,Percent,,40 to 44,90
2023,Percent,,45 to 49,90
2023,Percent,,50 to 54,91
2023,Percent,,55 to 59,92
2023,Percent,,60 to 64,92
2023,Percent,,65 to 69,91
2023,Percent,,70 to 74,91
2023,Percent,,75 or older,87
2022,Percent,,15 to 19,13
2022,Percent,,20 to 24,74
2022,Percent,,25 to 29,90
2022,Percent,,30 to 34,92
2022,Percent,,35 to 39,91
2022,Percent,,40 to 44,90
2022,Percent,,45 to 49,90
2022,Percent,,50 to 54,91
2022,Percent,,55 to 59,92
2022,Percent,,60 to 64,92
2022,Percent,,65 to 69,91
2022,Percent,,70 to 74,91
2022,Percent,,75 or older,86
2021,Percent,,15 to 19,14
2021,Percent,,20 to 24,74
2021,Percent,,25 to 29,90
2021,Percent,,30 to 34,92
2021,Percent,,35 to 39,91
2021,Percent,,40 to 44,90
2021,Percent,,45 to 49,90
2021,Percent,,50 to 54,92
2021,Percent,,55 to 59,92
2021,Percent,,60 to 64,92
2021,Percent,,65 to 69,91
2021,Percent,,70 to 74,90
2021,Percent,,75 or older,85
2020,Percent,,15 to 19,14
2020,Percent,,20 to 24,74
2020,Percent,,25 to 29,91
2020,Percent,,30 to 34,92
2020,Percent,,35 to 39,91
2020,Percent,,40 to 44,90
2020,Percent,,45 to 49,91
2020,Percent,,50 to 54,92
2020,Percent,,55 to 59,93
2020,Percent,,60 to 64,92
2020,Percent,,65 to 69,91
2020,Percent,,70 to 74,90
2020,Percent,,75 or older,84
2019,Percent,,15 to 19,14
2019,Percent,,20 to 24,75
2019,Percent,,25 to 29,90
2019,Percent,,30 to 34,91
2019,Percent,,35 to 39,91
2019,Percent,,40 to 44,90
2019,Percent,,45 to 49,91
2019,Percent,,50 to 54,92
2019,Percent,,55 to 59,92
2019,Percent,,60 to 64,91
2019,Percent,,65 to 69,90
2019,Percent,,70 to 74,90
2019,Percent,,75 or older,83
2018,Percent,,15 to 19,13
2018,Percent,,20 to 24,74
2018,Percent,,25 to 29,89
2018,Percent,,30 to 34,91
