Year,SEX,INCOME_WEALTH_QUANTILE,Value
2007,,,92.39
2008,,,90.98
2009,,,91.533
2010,,,92.377
2011,,,92.576
2012,,,89.798
2013,,,90.26
2014,,,90.714
2015,,,90.955
2007,M,,91.097
2008,M,,91.168
2009,M,,90.435
2010,M,,91.833
2011,M,,92.616
2012,M,,89.392
2013,M,,90.622
2014,M,,91.555
2015,M,,90.002
2007,F,,93.731
2008,F,,90.782
2009,F,,92.687
2010,F,,92.949
2011,F,,92.533
2012,F,,90.21
2013,F,,89.862
2014,F,,89.852
2015,F,,91.961
2007,,Q1,86.476
2008,,Q1,88.067
2009,,Q1,89.575
2010,,Q1,89.393
2011,,Q1,91.571
2012,,Q1,84.552
2013,,Q1,91.234
2014,,Q1,91.377
2015,,Q1,88.737
2007,,Q2,91.646
2008,,Q2,89.098
2009,,Q2,89.559
2010,,Q2,91.404
2011,,Q2,90.569
2012,,Q2,90.22
2013,,Q2,89.202
2014,,Q2,87.88
2015,,Q2,92.879
2007,,Q3,94.729
2008,,Q3,91.561
2009,,Q3,91.739
2010,,Q3,89.684
2011,,Q3,92.094
2012,,Q3,90.211
2013,,Q3,89.121
2014,,Q3,91.457
2015,,Q3,91.413
2007,,Q4,92.919
2008,,Q4,92.437
2009,,Q4,91.871
2010,,Q4,94.62
2011,,Q4,91.141
2012,,Q4,88.854
2013,,Q4,88.574
2014,,Q4,91.344
2015,,Q4,88.191
2007,,Q5,95.048
2008,,Q5,92.784
2009,,Q5,94.306
2010,,Q5,95.479
2011,,Q5,96.354
2012,,Q5,94.151
2013,,Q5,92.862
2014,,Q5,91.117
2015,,Q5,92.512
