Year,Sex,Age,Disability Status,Units,Value
2009,Men,16 +,Persons with a disability,Percent,15.1
2010,Men,16 +,Persons with a disability,Percent,15.2
2011,Men,16 +,Persons with a disability,Percent,15.3
2012,Men,16 +,Persons with a disability,Percent,13.2
2013,Men,16 +,Persons with a disability,Percent,13.0
2014,Men,16 +,Persons with a disability,Percent,12.5
2015,Men,16 +,Persons with a disability,Percent,10.6
2016,Men,16 +,Persons with a disability,Percent,10.1
2017,Men,16 +,Persons with a disability,Percent,9.0
2018,Men,16 +,Persons with a disability,Percent,7.9
2019,Men,16 +,Persons with a disability,Percent,7.4
2020,Men,16 +,Persons with a disability,Percent,12.0
2021,Men,16 +,Persons with a disability,Percent,10.1
2022,Men,16 +,Persons with a disability,Percent,7.8
2023,Men,16 +,Persons with a disability,Percent,7.2
2009,Men,16 +,Persons with no disability,Percent,10.1
2010,Men,16 +,Persons with no disability,Percent,10.3
2011,Men,16 +,Persons with no disability,Percent,9.1
2012,Men,16 +,Persons with no disability,Percent,8.0
2013,Men,16 +,Persons with no disability,Percent,7.4
2014,Men,16 +,Persons with no disability,Percent,6.0
2015,Men,16 +,Persons with no disability,Percent,5.2
2016,Men,16 +,Persons with no disability,Percent,4.7
2017,Men,16 +,Persons with no disability,Percent,4.2
2018,Men,16 +,Persons with no disability,Percent,3.8
2019,Men,16 +,Persons with no disability,Percent,3.6
2020,Men,16 +,Persons with no disability,Percent,7.6
2021,Men,16 +,Persons with no disability,Percent,5.3
2022,Men,16 +,Persons with no disability,Percent,3.5
2023,Men,16 +,Persons with no disability,Percent,3.6
2009,Men,16 - 64,Persons with a disability,Percent,16.4
2010,Men,16 - 64,Persons with a disability,Percent,16.4
2011,Men,16 - 64,Persons with a disability,Percent,16.6
2012,Men,16 - 64,Persons with a disability,Percent,14.5
2013,Men,16 - 64,Persons with a disability,Percent,14.6
2014,Men,16 - 64,Persons with a disability,Percent,14.1
2015,Men,16 - 64,Persons with a disability,Percent,11.6
2016,Men,16 - 64,Persons with a disability,Percent,11.2
2017,Men,16 - 64,Persons with a disability,Percent,10.0
2018,Men,16 - 64,Persons with a disability,Percent,8.7
2019,Men,16 - 64,Persons with a disability,Percent,8.3
2020,Men,16 - 64,Persons with a disability,Percent,13.0
2021,Men,16 - 64,Persons with a disability,Percent,11.1
2022,Men,16 - 64,Persons with a disability,Percent,8.5
2023,Men,16 - 64,Persons with a disability,Percent,7.8
2009,Men,16 - 64,Persons with no disability,Percent,10.2
2010,Men,16 - 64,Persons with no disability,Percent,10.5
2011,Men,16 - 64,Persons with no disability,Percent,9.3
2012,Men,16 - 64,Persons with no disability,Percent,8.1
2013,Men,16 - 64,Persons with no disability,Percent,7.5
2014,Men,16 - 64,Persons with no disability,Percent,6.1
2015,Men,16 - 64,Persons with no disability,Percent,5.3
2016,Men,16 - 64,Persons with no disability,Percent,4.8
2017,Men,16 - 64,Persons with no disability,Percent,4.3
2018,Men,16 - 64,Persons with no disability,Percent,3.8
2019,Men,16 - 64,Persons with no disability,Percent,3.6
2020,Men,16 - 64,Persons with no disability,Percent,7.7
2021,Men,16 - 64,Persons with no disability,Percent,5.3
2022,Men,16 - 64,Persons with no disability,Percent,3.5
2023,Men,16 - 64,Persons with no disability,Percent,3.7
2009,Men,16 -19,Persons with a disability,Percent,42.3
2010,Men,16 -19,Persons with a disability,Percent,38.5
2011,Men,16 -19,Persons with a disability,Percent,48.8
2012,Men,16 -19,Persons with a disability,Percent,40.7
2013,Men,16 -19,Persons with a disability,Percent,43.4
2014,Men,16 -19,Persons with a disability,Percent,44.9
2015,Men,16 -19,Persons with a disability,Percent,34.2
2016,Men,16 -19,Persons with a disability,Percent,36.6
2017,Men,16 -19,Persons with a disability,Percent,25.1
2018,Men,16 -19,Persons with a disability,Percent,27.7
2019,Men,16 -19,Persons with a disability,Percent,27.9
2020,Men,16 -19,Persons with a disability,Percent,26.3
2021,Men,16 -19,Persons with a disability,Percent,20.6
2022,Men,16 -19,Persons with a disability,Percent,21.5
2023,Men,16 -19,Persons with a disability,Percent,17.6
2009,Men,16 -19,Persons with no disability,Percent,27.4
2010,Men,16 -19,Persons with no disability,Percent,28.5
2011,Men,16 -19,Persons with no disability,Percent,26.6
2012,Men,16 -19,Persons with no disability,Percent,26.4
2013,Men,16 -19,Persons with no disability,Percent,25.1
2014,Men,16 -19,Persons with no disability,Percent,20.8
2015,Men,16 -19,Persons with no disability,Percent,18.0
2016,Men,16 -19,Persons with no disability,Percent,16.5
2017,Men,16 -19,Persons with no disability,Percent,15.3
2018,Men,16 -19,Persons with no disability,Percent,14.1
2019,Men,16 -19,Persons with no disability,Percent,13.4
2020,Men,16 -19,Persons with no disability,Percent,18.1
2021,Men,16 -19,Persons with no disability,Percent,12.3
2022,Men,16 -19,Persons with no disability,Percent,10.8
2023,Men,16 -19,Persons with no disability,Percent,12.1
2009,Men,20 +,Persons with a disability,Percent,14.2
2010,Men,20 +,Persons with a disability,Percent,14.5
2011,Men,20 +,Persons with a disability,Percent,14.6
2012,Men,20 +,Persons with a disability,Percent,12.4
2013,Men,20 +,Persons with a disability,Percent,12.3
2014,Men,20 +,Persons with a disability,Percent,11.7
2015,Men,20 +,Persons with a disability,Percent,10.0
2016,Men,20 +,Persons with a disability,Percent,9.4
2017,Men,20 +,Persons with a disability,Percent,8.6
2018,Men,20 +,Persons with a disability,Percent,7.4
2019,Men,20 +,Persons with a disability,Percent,6.8
2020,Men,20 +,Persons with a disability,Percent,11.6
2021,Men,20 +,Persons with a disability,Percent,9.8
2022,Men,20 +,Persons with a disability,Percent,7.4
2023,Men,20 +,Persons with a disability,Percent,7.0
