Year,Units,Sex,Value
2000,Rate,,5.5
2001,Rate,,5.6
2002,Rate,,5.6
2003,Rate,,5.7
2004,Rate,,5.5
2005,Rate,,5.6
2006,Rate,,5.8
2007,Rate,,5.7
2008,Rate,,5.4
2009,Rate,,5
2010,Rate,,4.8
2011,Rate,,4.7
2012,Rate,,4.7
2013,Rate,,4.5
2014,Rate,,4.4
2015,Rate,,4.9
2016,Rate,,5.4
2017,Rate,,5.3
2018,Rate,,5
2019,Rate,,5.1
2020,Rate,,6.5
2021,Rate,,6.8
2022,Rate,,6.3
2000,Total,,15586
2001,Total,,19033
2002,Total,,16229
2003,Total,,16528
2004,Total,,16148
2005,Total,,16740
2006,Total,,17309
2007,Total,,17128
2008,Total,,16465
2009,Total,,15399
2010,Total,,14722
2011,Total,,14661
2012,Total,,14856
2013,Total,,14319
2014,Total,,14164
2015,Total,,15883
2016,Total,,17413
2017,Total,,17294
2018,Total,,16374
2019,Total,,16669
2020,Total,,21570
2021,Total,,22941
2022,Total,,21594
2000,Total,Male,11877
2001,Total,Male,14573
2002,Total,Male,12468
2003,Total,Male,12833
2004,Total,Male,12596
2005,Total,Male,13181
2006,Total,Male,13655
2007,Total,Male,13450
2008,Total,Male,12880
2009,Total,Male,11869
2010,Total,Male,11411
2011,Total,Male,11399
2012,Total,Male,11555
2013,Total,Male,11150
2014,Total,Male,10980
2015,Total,Male,12549
2016,Total,Male,13696
2017,Total,Male,13600
2018,Total,Male,12680
2019,Total,Male,13082
2020,Total,Male,17220
2021,Total,Male,17968
2022,Total,Male,16886
2000,Total,Female,3709
2001,Total,Female,4460
2002,Total,Female,3761
2003,Total,Female,3695
2004,Total,Female,3552
2005,Total,Female,3559
2006,Total,Female,3654
2007,Total,Female,3678
2008,Total,Female,3585
2009,Total,Female,3530
2010,Total,Female,3311
2011,Total,Female,3262
2012,Total,Female,3301
2013,Total,Female,3169
2014,Total,Female,3184
2015,Total,Female,3334
2016,Total,Female,3717
2017,Total,Female,3694
2018,Total,Female,3694
2019,Total,Female,3587
2020,Total,Female,4350
2021,Total,Female,4974
2022,Total,Female,4707
