Year,severity,Value
2001,md_inadqt_hs,3.99742
2003,md_inadqt_hs,3.81708
2005,md_inadqt_hs,3.57281
2007,md_inadqt_hs,3.78186
2009,md_inadqt_hs,3.71077
2011,md_inadqt_hs,3.83114
2013,md_inadqt_hs,3.69158
2015,md_inadqt_hs,4.22536
2017,md_inadqt_hs,3.608691196
2001,sv_inadqt_hs,2.05732
2003,sv_inadqt_hs,1.94087
2005,sv_inadqt_hs,1.88559
2007,sv_inadqt_hs,1.75856
2009,sv_inadqt_hs,1.82668
2011,sv_inadqt_hs,2.00207
2013,sv_inadqt_hs,1.85935
2015,sv_inadqt_hs,1.25475
2017,sv_inadqt_hs,1.081274982
2001,,6.05474
2003,,5.75795
2005,,5.45840
2007,,5.54042
2009,,5.53745
2011,,5.8332
2013,,5.55093
2015,,5.48011
2017,,4.689966178
