Year,sex,Value
2000,,46
2001,,49
2002,,50.8
2003,,47.5
2004,,50.3
2005,,45.8
2006,,46.6
2007,,44.9
2008,,46.4
2009,,44.1
2010,,51.1
2011,,49
2012,,44.2
2013,,45.6
2014,,46
2015,,46.5
2016,,43.9
2017,,44.9
2018,,42.6
2019,,40.9
2020,,40.2
2021,,45.6
2022,,41.5
2000,males,43.9
2001,males,48.4
2002,males,46.9
2003,males,44.9
2004,males,47.2
2005,males,42
2006,males,44.8
2007,males,43.6
2008,males,41.4
2009,males,39.9
2010,males,47.8
2011,males,41.8
2012,males,42.3
2013,males,44.4
2014,males,43
2015,males,45.4
2016,males,45.7
2017,males,41.8
2018,males,45.2
2019,males,35.7
2020,males,37.1
2021,males,42.4
2022,males,37.5
2000,females,48.8
2001,females,49.7
2002,females,54.9
2003,females,50.4
2004,females,53.8
2005,females,51
2006,females,48.9
2007,females,46.6
2008,females,51.9
2009,females,48.3
2010,females,54.6
2011,females,58.5
2012,females,47.3
2013,females,47.1
2014,females,49.7
2015,females,47.5
2016,females,42.2
2017,females,47.7
2018,females,40.5
2019,females,45.9
2020,females,43.1
2021,females,49.1
2022,females,45.3
