Year,Measure,Value
2000,"Gross Commitments, USD Current",1269940000
2001,"Gross Commitments, USD Current",244618000
2002,"Gross Disbursements, USD Current",266420000
2003,"Gross Disbursements, USD Current",355890000
2004,"Gross Disbursements, USD Current",1072302000
2005,"Gross Disbursements, USD Current",1303191000
2006,"Gross Disbursements, USD Current",1862182000
2007,"Gross Disbursements, USD Current",1317254578
2008,"Gross Disbursements, USD Current",1630622495
2009,"Gross Disbursements, USD Current",1832230103
2010,"Gross Disbursements, USD Current",2070269400
2011,"Gross Disbursements, USD Current",1914735850
2012,"Gross Disbursements, USD Current",1500287920
2013,"Gross Disbursements, USD Current",1380468290
2014,"Gross Disbursements, USD Current",1184791710
2015,"Gross Disbursements, USD Current",877683539
2016,"Gross Disbursements, USD Current",892920367
2017,"Gross Disbursements, USD Current",918033910
2018,"Gross Disbursements, USD Current",599366460
2019,"Gross Disbursements, USD Current",972382090
2020,"Gross Disbursements, USD Current",1050529516
2021,"Gross Disbursements, USD Current",2710416520
2022,"Gross Disbursements, USD Current",2170557708
