Year,Measure,Value
2000,"Commitments, USD Current",404542000
2001,"Commitments, USD Current",354061000
2002,"Gross Disbursements, USD Current",246584000
2003,"Gross Disbursements, USD Current",300986000
2004,"Gross Disbursements, USD Current",531065000
2005,"Gross Disbursements, USD Current",458861000
2006,"Gross Disbursements, USD Current",447699000
2007,"Gross Disbursements, USD Current",495675723
2008,"Gross Disbursements, USD Current",767000978
2009,"Gross Disbursements, USD Current",1036803538
2010,"Gross Disbursements, USD Current",1429801220
2011,"Gross Disbursements, USD Current",1417847810
2012,"Gross Disbursements, USD Current",1286079380
2013,"Gross Disbursements, USD Current",1218367050
2014,"Gross Disbursements, USD Current",1380370770
2015,"Gross Disbursements, USD Current",1406869953
2016,"Gross Disbursements, USD Current",1412136918
2017,"Gross Disbursements, USD Current",1275840730
2018,"Gross Disbursements, USD Current",1082412250
2019,"Gross Disbursements, USD Current",920251244
2020,"Gross Disbursements, USD Current",890133978
2021,"Gross Disbursements, USD Current",996882170
2022,"Gross Disbursements, USD Current",802878640
