Year,Units,Series,Treatment Method,Value
2021,Tons,Hazardous waste generated per capita,,35864675.52
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",DEEPWELL / UNDERGROUND INJECTION,59
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",ENERGY RECOVERY,4
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",FUEL BLENDING,1
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",INCINERATION,2
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",LAND TREATMENT / APPLICATION,0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",LANDFILL,3
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",METALS RECOVERY,3
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",OTHER RECOVERY,1
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",OTHER TREATMENT,10
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SLUDGE TRTMNT / STAB / ENCAP,1
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SOLVENTS RECOVERY,1
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",SURF. IMP. CLOSED AS LANDFILL,0
2021,Percent,"Proportion of hazardous waste treated, by type of treatment",WASTEWATER TREATMENT,15
