year,manuf_emplmnt_mill,tot_us_economy_emplmnt_mill,manuf_tot_us_economy_emplmnt_pct
2000,17.66,147.978,11.9
2001,16.841,147.659,11.4
2002,15.626,146.02,10.7
2003,14.892,146.08,10.2
2004,14.686,147.703,9.9
2005,14.61,150.054,9.7
2006,14.525,152.549,9.5
2007,14.278,153.872,9.3
2008,13.769,152.786,9
2009,12.22,146.41,8.3
2010,11.878,145.111,8.2
2011,12.037,146.647,8.2
2012,12.265,148.905,8.2
2013,12.342,150.826,8.2
2014,12.506,153.563,8.1
2015,12.663,156.696,8.1
2016,12.664,159.266,8
2017,12.783,161.438,7.9
2018,12.991,164.345,7.9
