year,education:formal,education:formal|sex:male,education:formal|sex:female,education:formal|age:less than 25,education:formal|age:25 to 34,education:formal|age:35 to 44,education:formal|age:45 to 54,education:formal|age:55 to 64,education:formal|income:low quartile,education:formal|income:mid quartile,education:formal|income:high quartile,education:informal,education:informal|sex:male,education:informal|sex:female,education:informal|age:less than 25,education:informal|age:25 to 34,education:informal|age:35 to 44,education:informal|age:45 to 54,education:informal|age:55 to 64,education:informal|income:low quartile,education:informal|income:mid quartile,education:informal|income:high quartile
2000,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,
2012,26,24,26,73,27,15,8,6,48,21,12,58,57,55,64,60,57,54,49,54,62,80
2013,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
