year,tot_new_hiv_dgnss_per_100000_pop_all_age,sex:male_13_pls_y,sex:female_13_pls_y,age:13_24_y,age:25_34_y,age:35_44_y,age:45_54_y,race_ethnicity:black_nh,race_ethnicity:white_nh,race_ethnicity:hispanic
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,19.0,29.5,9.0,16.8,30.8,30.3,21.5,73.9,7.5,28.3
2009,17.9,28.2,8.0,17.3,29.1,27.7,19.7,68.5,7.1,26.7
2010,16.9,27.0,7.2,17.6,28.6,24.9,18.4,64.3,6.8,24.3
2011,16.1,26.0,6.6,17.5,27.7,22.6,17.6,60.3,6.5,23.3
2012,15.7,25.7,6.2,17.5,28.2,21.2,16.9,57.2,6.5,22.9
2013,14.9,24.6,5.7,16.8,27.7,19.5,15.7,53.9,6.2,21.9
2014,15.1,25.0,5.6,17.4,29.1,19.8,15.0,53.9,6.2,22.7
2015,14.8,24.7,5.4,17.4,29.6,19.0,14.7,53.1,6.1,22.3
2016,14.6,24.1,5.4,16.6,30.4,18.5,14.0,52.0,5.9,22.2
2017,14.0,23.1,5.2,15.7,29.3,17.9,13.3,49.8,5.9,20.8
